qid	geni_id	clan_han	place_han	clan	place	sex	mul	en	nb	da	sv	de	nl	es	it	pt	ca
Q45512915	6000000075399238876	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45513489	6000000074715524028	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45513552	6000000074715708871	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45517450	6000000074747408890	房	齊州臨淄	Fang	Qizhou Linzi	M	NN	man of the Fang clan, from Qizhou Linzi	mann av Fang-slekten, fra Qizhou Linzi	mand af Fang-slægten, fra Qizhou Linzi	man av Fang-ätten, från Qizhou Linzi	Mann des Klans Fang, aus Qizhou Linzi	man van de Fang-clan, uit Qizhou Linzi	hombre del clan Fang, de Qizhou Linzi	uomo del clan Fang, da Qizhou Linzi	homem do clã Fang, de Qizhou Linzi	home del clan Fang, de Qizhou Linzi
Q45517515	6000000074747041176	房	齊州臨淄	Fang	Qizhou Linzi	M	NN	man of the Fang clan, from Qizhou Linzi	mann av Fang-slekten, fra Qizhou Linzi	mand af Fang-slægten, fra Qizhou Linzi	man av Fang-ätten, från Qizhou Linzi	Mann des Klans Fang, aus Qizhou Linzi	man van de Fang-clan, uit Qizhou Linzi	hombre del clan Fang, de Qizhou Linzi	uomo del clan Fang, da Qizhou Linzi	homem do clã Fang, de Qizhou Linzi	home del clan Fang, de Qizhou Linzi
Q45517579	6000000074747524823	房	齊州臨淄	Fang	Qizhou Linzi	M	NN	man of the Fang clan, from Qizhou Linzi	mann av Fang-slekten, fra Qizhou Linzi	mand af Fang-slægten, fra Qizhou Linzi	man av Fang-ätten, från Qizhou Linzi	Mann des Klans Fang, aus Qizhou Linzi	man van de Fang-clan, uit Qizhou Linzi	hombre del clan Fang, de Qizhou Linzi	uomo del clan Fang, da Qizhou Linzi	homem do clã Fang, de Qizhou Linzi	home del clan Fang, de Qizhou Linzi
Q45517644	6000000074747095235	房	齊州臨淄	Fang	Qizhou Linzi	M	NN	man of the Fang clan, from Qizhou Linzi	mann av Fang-slekten, fra Qizhou Linzi	mand af Fang-slægten, fra Qizhou Linzi	man av Fang-ätten, från Qizhou Linzi	Mann des Klans Fang, aus Qizhou Linzi	man van de Fang-clan, uit Qizhou Linzi	hombre del clan Fang, de Qizhou Linzi	uomo del clan Fang, da Qizhou Linzi	homem do clã Fang, de Qizhou Linzi	home del clan Fang, de Qizhou Linzi
Q45517670	6000000074750797872	李	隴西狄道	Li	Longxi Didao	F	NN	woman of the Li clan, from Longxi Didao	kvinne av Li-slekten, fra Longxi Didao	kvinde af Li-slægten, fra Longxi Didao	kvinna av Li-ätten, från Longxi Didao	Frau des Klans Li, aus Longxi Didao	vrouw van de Li-clan, uit Longxi Didao	mujer del clan Li, de Longxi Didao	donna del clan Li, da Longxi Didao	mulher do clã Li, de Longxi Didao	dona del clan Li, de Longxi Didao
Q45518351	6000000074747192109	房	齊州臨淄	Fang	Qizhou Linzi	M	NN	man of the Fang clan, from Qizhou Linzi	mann av Fang-slekten, fra Qizhou Linzi	mand af Fang-slægten, fra Qizhou Linzi	man av Fang-ätten, från Qizhou Linzi	Mann des Klans Fang, aus Qizhou Linzi	man van de Fang-clan, uit Qizhou Linzi	hombre del clan Fang, de Qizhou Linzi	uomo del clan Fang, da Qizhou Linzi	homem do clã Fang, de Qizhou Linzi	home del clan Fang, de Qizhou Linzi
Q45518415	6000000074747239038	房	齊州臨淄	Fang	Qizhou Linzi	M	NN	man of the Fang clan, from Qizhou Linzi	mann av Fang-slekten, fra Qizhou Linzi	mand af Fang-slægten, fra Qizhou Linzi	man av Fang-ätten, från Qizhou Linzi	Mann des Klans Fang, aus Qizhou Linzi	man van de Fang-clan, uit Qizhou Linzi	hombre del clan Fang, de Qizhou Linzi	uomo del clan Fang, da Qizhou Linzi	homem do clã Fang, de Qizhou Linzi	home del clan Fang, de Qizhou Linzi
Q45521650	6000000075061315899	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45534434	6000000075061275842	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45534750	6000000074788775892	鄭	鄭州榮澤	Zheng	Zhengzhou Rongze	M	NN	man of the Zheng clan, from Zhengzhou Rongze	mann av Zheng-slekten, fra Zhengzhou Rongze	mand af Zheng-slægten, fra Zhengzhou Rongze	man av Zheng-ätten, från Zhengzhou Rongze	Mann des Klans Zheng, aus Zhengzhou Rongze	man van de Zheng-clan, uit Zhengzhou Rongze	hombre del clan Zheng, de Zhengzhou Rongze	uomo del clan Zheng, da Zhengzhou Rongze	homem do clã Zheng, de Zhengzhou Rongze	home del clan Zheng, de Zhengzhou Rongze
Q45536767	6000000074716291293	杜	京兆杜陵	Du	Jingzhao Duling	M	NN	man of the Du clan, from Jingzhao Duling	mann av Du-slekten, fra Jingzhao Duling	mand af Du-slægten, fra Jingzhao Duling	man av Du-ätten, från Jingzhao Duling	Mann des Klans Du, aus Jingzhao Duling	man van de Du-clan, uit Jingzhao Duling	hombre del clan Du, de Jingzhao Duling	uomo del clan Du, da Jingzhao Duling	homem do clã Du, de Jingzhao Duling	home del clan Du, de Jingzhao Duling
Q45536832	6000000074717189940	杜	京兆杜陵	Du	Jingzhao Duling	M	NN	man of the Du clan, from Jingzhao Duling	mann av Du-slekten, fra Jingzhao Duling	mand af Du-slægten, fra Jingzhao Duling	man av Du-ätten, från Jingzhao Duling	Mann des Klans Du, aus Jingzhao Duling	man van de Du-clan, uit Jingzhao Duling	hombre del clan Du, de Jingzhao Duling	uomo del clan Du, da Jingzhao Duling	homem do clã Du, de Jingzhao Duling	home del clan Du, de Jingzhao Duling
Q45541151	6000000074767499967	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45542682	6000000074767634856	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45544329	6000000074767636987	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45553927	6000000074699354035	李	京兆長安	Li	Jingzhao Chang'an	M	NN	man of the Li clan, from Jingzhao Chang'an	mann av Li-slekten, fra Jingzhao Chang'an	mand af Li-slægten, fra Jingzhao Chang'an	man av Li-ätten, från Jingzhao Chang'an	Mann des Klans Li, aus Jingzhao Chang'an	man van de Li-clan, uit Jingzhao Chang'an	hombre del clan Li, de Jingzhao Chang'an	uomo del clan Li, da Jingzhao Chang'an	homem do clã Li, de Jingzhao Chang'an	home del clan Li, de Jingzhao Chang'an
Q45556055	6000000074712442848	李	河南洛陽	Li	Henan Luoyang	M	NN	man of the Li clan, from Henan Luoyang	mann av Li-slekten, fra Henan Luoyang	mand af Li-slægten, fra Henan Luoyang	man av Li-ätten, från Henan Luoyang	Mann des Klans Li, aus Henan Luoyang	man van de Li-clan, uit Henan Luoyang	hombre del clan Li, de Henan Luoyang	uomo del clan Li, da Henan Luoyang	homem do clã Li, de Henan Luoyang	home del clan Li, de Henan Luoyang
Q45557842	6000000074716376163	崔	貝州清河	Cui	Beizhou Qinghe	M	NN	man of the Cui clan, from Beizhou Qinghe	mann av Cui-slekten, fra Beizhou Qinghe	mand af Cui-slægten, fra Beizhou Qinghe	man av Cui-ätten, från Beizhou Qinghe	Mann des Klans Cui, aus Beizhou Qinghe	man van de Cui-clan, uit Beizhou Qinghe	hombre del clan Cui, de Beizhou Qinghe	uomo del clan Cui, da Beizhou Qinghe	homem do clã Cui, de Beizhou Qinghe	home del clan Cui, de Beizhou Qinghe
Q45562647	6000000074730359898	裴	京兆萬年	Pei	Jingzhao Wannian	M	NN	man of the Pei clan, from Jingzhao Wannian	mann av Pei-slekten, fra Jingzhao Wannian	mand af Pei-slægten, fra Jingzhao Wannian	man av Pei-ätten, från Jingzhao Wannian	Mann des Klans Pei, aus Jingzhao Wannian	man van de Pei-clan, uit Jingzhao Wannian	hombre del clan Pei, de Jingzhao Wannian	uomo del clan Pei, da Jingzhao Wannian	homem do clã Pei, de Jingzhao Wannian	home del clan Pei, de Jingzhao Wannian
Q45562711	6000000074730642844	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45562775	6000000074730643821	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45570419	6000000074749995576	李	京兆萬年	Li	Jingzhao Wannian	M	NN	man of the Li clan, from Jingzhao Wannian	mann av Li-slekten, fra Jingzhao Wannian	mand af Li-slægten, fra Jingzhao Wannian	man av Li-ätten, från Jingzhao Wannian	Mann des Klans Li, aus Jingzhao Wannian	man van de Li-clan, uit Jingzhao Wannian	hombre del clan Li, de Jingzhao Wannian	uomo del clan Li, da Jingzhao Wannian	homem do clã Li, de Jingzhao Wannian	home del clan Li, de Jingzhao Wannian
Q45570482	6000000074750820004	李	京兆萬年	Li	Jingzhao Wannian	M	NN	man of the Li clan, from Jingzhao Wannian	mann av Li-slekten, fra Jingzhao Wannian	mand af Li-slægten, fra Jingzhao Wannian	man av Li-ätten, från Jingzhao Wannian	Mann des Klans Li, aus Jingzhao Wannian	man van de Li-clan, uit Jingzhao Wannian	hombre del clan Li, de Jingzhao Wannian	uomo del clan Li, da Jingzhao Wannian	homem do clã Li, de Jingzhao Wannian	home del clan Li, de Jingzhao Wannian
Q45574741	6000000074738955980	李	趙州贊皇	Li	Zhaozhou Zanhuang	M	NN	man of the Li clan, from Zhaozhou Zanhuang	mann av Li-slekten, fra Zhaozhou Zanhuang	mand af Li-slægten, fra Zhaozhou Zanhuang	man av Li-ätten, från Zhaozhou Zanhuang	Mann des Klans Li, aus Zhaozhou Zanhuang	man van de Li-clan, uit Zhaozhou Zanhuang	hombre del clan Li, de Zhaozhou Zanhuang	uomo del clan Li, da Zhaozhou Zanhuang	homem do clã Li, de Zhaozhou Zanhuang	home del clan Li, de Zhaozhou Zanhuang
Q45574802	6000000074739389825	李	趙州贊皇	Li	Zhaozhou Zanhuang	M	NN	man of the Li clan, from Zhaozhou Zanhuang	mann av Li-slekten, fra Zhaozhou Zanhuang	mand af Li-slægten, fra Zhaozhou Zanhuang	man av Li-ätten, från Zhaozhou Zanhuang	Mann des Klans Li, aus Zhaozhou Zanhuang	man van de Li-clan, uit Zhaozhou Zanhuang	hombre del clan Li, de Zhaozhou Zanhuang	uomo del clan Li, da Zhaozhou Zanhuang	homem do clã Li, de Zhaozhou Zanhuang	home del clan Li, de Zhaozhou Zanhuang
Q45583513	6000000074788595879	鄭	滎陽開封	Zheng	Xingyang Kaifeng	M	NN	man of the Zheng clan, from Xingyang Kaifeng	mann av Zheng-slekten, fra Xingyang Kaifeng	mand af Zheng-slægten, fra Xingyang Kaifeng	man av Zheng-ätten, från Xingyang Kaifeng	Mann des Klans Zheng, aus Xingyang Kaifeng	man van de Zheng-clan, uit Xingyang Kaifeng	hombre del clan Zheng, de Xingyang Kaifeng	uomo del clan Zheng, da Xingyang Kaifeng	homem do clã Zheng, de Xingyang Kaifeng	home del clan Zheng, de Xingyang Kaifeng
Q45600896	6000000074715058981	陸	吳郡吳縣	Lu	Wujun Wuxian	M	NN	man of the Lu clan, from Wujun Wuxian	mann av Lu-slekten, fra Wujun Wuxian	mand af Lu-slægten, fra Wujun Wuxian	man av Lu-ätten, från Wujun Wuxian	Mann des Klans Lu, aus Wujun Wuxian	man van de Lu-clan, uit Wujun Wuxian	hombre del clan Lu, de Wujun Wuxian	uomo del clan Lu, da Wujun Wuxian	homem do clã Lu, de Wujun Wuxian	home del clan Lu, de Wujun Wuxian
Q45602475	6000000074699315063	李	京兆長安	Li	Jingzhao Chang'an	M	NN	man of the Li clan, from Jingzhao Chang'an	mann av Li-slekten, fra Jingzhao Chang'an	mand af Li-slægten, fra Jingzhao Chang'an	man av Li-ätten, från Jingzhao Chang'an	Mann des Klans Li, aus Jingzhao Chang'an	man van de Li-clan, uit Jingzhao Chang'an	hombre del clan Li, de Jingzhao Chang'an	uomo del clan Li, da Jingzhao Chang'an	homem do clã Li, de Jingzhao Chang'an	home del clan Li, de Jingzhao Chang'an
Q45611337	6000000074788713859	鄭	鄭州榮澤	Zheng	Zhengzhou Rongze	M	NN	man of the Zheng clan, from Zhengzhou Rongze	mann av Zheng-slekten, fra Zhengzhou Rongze	mand af Zheng-slægten, fra Zhengzhou Rongze	man av Zheng-ätten, från Zhengzhou Rongze	Mann des Klans Zheng, aus Zhengzhou Rongze	man van de Zheng-clan, uit Zhengzhou Rongze	hombre del clan Zheng, de Zhengzhou Rongze	uomo del clan Zheng, da Zhengzhou Rongze	homem do clã Zheng, de Zhengzhou Rongze	home del clan Zheng, de Zhengzhou Rongze
Q45620545	6000000075327872192	楊		Yang		M	NN	man of the Yang clan	mann av Yang-slekten	mand af Yang-slægten	man av Yang-ätten	Mann des Klans Yang	man van de Yang-clan	hombre del clan Yang	uomo del clan Yang	homem do clã Yang	home del clan Yang
Q45621550	6000000074739443859	李	趙州贊皇	Li	Zhaozhou Zanhuang	M	NN	man of the Li clan, from Zhaozhou Zanhuang	mann av Li-slekten, fra Zhaozhou Zanhuang	mand af Li-slægten, fra Zhaozhou Zanhuang	man av Li-ätten, från Zhaozhou Zanhuang	Mann des Klans Li, aus Zhaozhou Zanhuang	man van de Li-clan, uit Zhaozhou Zanhuang	hombre del clan Li, de Zhaozhou Zanhuang	uomo del clan Li, da Zhaozhou Zanhuang	homem do clã Li, de Zhaozhou Zanhuang	home del clan Li, de Zhaozhou Zanhuang
Q45621738	6000000074739051949	李	趙州贊皇	Li	Zhaozhou Zanhuang	M	NN	man of the Li clan, from Zhaozhou Zanhuang	mann av Li-slekten, fra Zhaozhou Zanhuang	mand af Li-slægten, fra Zhaozhou Zanhuang	man av Li-ätten, från Zhaozhou Zanhuang	Mann des Klans Li, aus Zhaozhou Zanhuang	man van de Li-clan, uit Zhaozhou Zanhuang	hombre del clan Li, de Zhaozhou Zanhuang	uomo del clan Li, da Zhaozhou Zanhuang	homem do clã Li, de Zhaozhou Zanhuang	home del clan Li, de Zhaozhou Zanhuang
Q45622685	6000000074748421023	唐	晉昌冥安	Tang	Jinchang Ming'an	M	NN	man of the Tang clan, from Jinchang Ming'an	mann av Tang-slekten, fra Jinchang Ming'an	mand af Tang-slægten, fra Jinchang Ming'an	man av Tang-ätten, från Jinchang Ming'an	Mann des Klans Tang, aus Jinchang Ming'an	man van de Tang-clan, uit Jinchang Ming'an	hombre del clan Tang, de Jinchang Ming'an	uomo del clan Tang, da Jinchang Ming'an	homem do clã Tang, de Jinchang Ming'an	home del clan Tang, de Jinchang Ming'an
Q45628948	6000000074749598941	薛	蒲州寶鼎	Xue	Puzhou Baoding	M	NN	man of the Xue clan, from Puzhou Baoding	mann av Xue-slekten, fra Puzhou Baoding	mand af Xue-slægten, fra Puzhou Baoding	man av Xue-ätten, från Puzhou Baoding	Mann des Klans Xue, aus Puzhou Baoding	man van de Xue-clan, uit Puzhou Baoding	hombre del clan Xue, de Puzhou Baoding	uomo del clan Xue, da Puzhou Baoding	homem do clã Xue, de Puzhou Baoding	home del clan Xue, de Puzhou Baoding
Q45632756	6000000074730594879	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45635644	6000000074733389821	蕭	蘭陵	Xiao	Lanling	M	NN	man of the Xiao clan, from Lanling	mann av Xiao-slekten, fra Lanling	mand af Xiao-slægten, fra Lanling	man av Xiao-ätten, från Lanling	Mann des Klans Xiao, aus Lanling	man van de Xiao-clan, uit Lanling	hombre del clan Xiao, de Lanling	uomo del clan Xiao, da Lanling	homem do clã Xiao, de Lanling	home del clan Xiao, de Lanling
Q45639455	6000000074749313118	薛	蒲州寶鼎	Xue	Puzhou Baoding	M	NN	man of the Xue clan, from Puzhou Baoding	mann av Xue-slekten, fra Puzhou Baoding	mand af Xue-slægten, fra Puzhou Baoding	man av Xue-ätten, från Puzhou Baoding	Mann des Klans Xue, aus Puzhou Baoding	man van de Xue-clan, uit Puzhou Baoding	hombre del clan Xue, de Puzhou Baoding	uomo del clan Xue, da Puzhou Baoding	homem do clã Xue, de Puzhou Baoding	home del clan Xue, de Puzhou Baoding
Q45642399	6000000074730584871	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45642460	6000000074730393950	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45642520	6000000074730577862	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45642643	6000000074730031042	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45642829	6000000057634231230	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45644430	6000000074712109983	李	趙州平棘	Li	Zhaozhou Pingji	M	NN	man of the Li clan, from Zhaozhou Pingji	mann av Li-slekten, fra Zhaozhou Pingji	mand af Li-slægten, fra Zhaozhou Pingji	man av Li-ätten, från Zhaozhou Pingji	Mann des Klans Li, aus Zhaozhou Pingji	man van de Li-clan, uit Zhaozhou Pingji	hombre del clan Li, de Zhaozhou Pingji	uomo del clan Li, da Zhaozhou Pingji	homem do clã Li, de Zhaozhou Pingji	home del clan Li, de Zhaozhou Pingji
Q45644491	6000000074712145920	李	趙州平棘	Li	Zhaozhou Pingji	M	NN	man of the Li clan, from Zhaozhou Pingji	mann av Li-slekten, fra Zhaozhou Pingji	mand af Li-slægten, fra Zhaozhou Pingji	man av Li-ätten, från Zhaozhou Pingji	Mann des Klans Li, aus Zhaozhou Pingji	man van de Li-clan, uit Zhaozhou Pingji	hombre del clan Li, de Zhaozhou Pingji	uomo del clan Li, da Zhaozhou Pingji	homem do clã Li, de Zhaozhou Pingji	home del clan Li, de Zhaozhou Pingji
Q45644550	6000000074711693222	李	趙州平棘	Li	Zhaozhou Pingji	M	NN	man of the Li clan, from Zhaozhou Pingji	mann av Li-slekten, fra Zhaozhou Pingji	mand af Li-slægten, fra Zhaozhou Pingji	man av Li-ätten, från Zhaozhou Pingji	Mann des Klans Li, aus Zhaozhou Pingji	man van de Li-clan, uit Zhaozhou Pingji	hombre del clan Li, de Zhaozhou Pingji	uomo del clan Li, da Zhaozhou Pingji	homem do clã Li, de Zhaozhou Pingji	home del clan Li, de Zhaozhou Pingji
Q45645832	6000000074712230958	李	河南	Li	Henan	M	NN	man of the Li clan, from Henan	mann av Li-slekten, fra Henan	mand af Li-slægten, fra Henan	man av Li-ätten, från Henan	Mann des Klans Li, aus Henan	man van de Li-clan, uit Henan	hombre del clan Li, de Henan	uomo del clan Li, da Henan	homem do clã Li, de Henan	home del clan Li, de Henan
Q45645892	6000000074712438826	李	河南	Li	Henan	M	NN	man of the Li clan, from Henan	mann av Li-slekten, fra Henan	mand af Li-slægten, fra Henan	man av Li-ätten, från Henan	Mann des Klans Li, aus Henan	man van de Li-clan, uit Henan	hombre del clan Li, de Henan	uomo del clan Li, da Henan	homem do clã Li, de Henan	home del clan Li, de Henan
Q45645904	6000000074730453941	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45645953	6000000074711095391	李	河南	Li	Henan	M	NN	man of the Li clan, from Henan	mann av Li-slekten, fra Henan	mand af Li-slægten, fra Henan	man av Li-ätten, från Henan	Mann des Klans Li, aus Henan	man van de Li-clan, uit Henan	hombre del clan Li, de Henan	uomo del clan Li, da Henan	homem do clã Li, de Henan	home del clan Li, de Henan
Q45646012	6000000074712004050	李	河南	Li	Henan	M	NN	man of the Li clan, from Henan	mann av Li-slekten, fra Henan	mand af Li-slægten, fra Henan	man av Li-ätten, från Henan	Mann des Klans Li, aus Henan	man van de Li-clan, uit Henan	hombre del clan Li, de Henan	uomo del clan Li, da Henan	homem do clã Li, de Henan	home del clan Li, de Henan
Q45646435	6000000074712027036	李	趙州平棘	Li	Zhaozhou Pingji	M	NN	man of the Li clan, from Zhaozhou Pingji	mann av Li-slekten, fra Zhaozhou Pingji	mand af Li-slægten, fra Zhaozhou Pingji	man av Li-ätten, från Zhaozhou Pingji	Mann des Klans Li, aus Zhaozhou Pingji	man van de Li-clan, uit Zhaozhou Pingji	hombre del clan Li, de Zhaozhou Pingji	uomo del clan Li, da Zhaozhou Pingji	homem do clã Li, de Zhaozhou Pingji	home del clan Li, de Zhaozhou Pingji
Q45646493	6000000074712079041	李	趙州平棘	Li	Zhaozhou Pingji	M	NN	man of the Li clan, from Zhaozhou Pingji	mann av Li-slekten, fra Zhaozhou Pingji	mand af Li-slægten, fra Zhaozhou Pingji	man av Li-ätten, från Zhaozhou Pingji	Mann des Klans Li, aus Zhaozhou Pingji	man van de Li-clan, uit Zhaozhou Pingji	hombre del clan Li, de Zhaozhou Pingji	uomo del clan Li, da Zhaozhou Pingji	homem do clã Li, de Zhaozhou Pingji	home del clan Li, de Zhaozhou Pingji
