orderlife_qid,label,wikidata_qid,geni_id,already_on
Q37254,京極菊姫,Q108101043,,Q108101043
Q63566,Kyōgoku Takamichi,Q11374495,,Q11374495
Q37262,Sō Yoshizane,Q11452036,,Q11452036
Q37266,今出川公規,Q11376748,,Q11376748
Q37270,今出川伊季,Q11376741,,Q11376741
Q37274,蜂屋謙入,Q115587250,,Q115587250
Q37278,津川義冬,Q11556112,,Q11556112
Q37282,Hōjuin Yūshinni,Q22126894,,Q22126894
Q37286,心月女王,Q134436065,,Q134436065
Q37294,Sōma Moritane,Q11582519,,Q11582519
Q21773,Soma Moritane,Q7559099,,Q7559099
Q37298,桑折景長,Q11537555,,Q11537555
Q37302,桑折政長,Q11537553,,Q11537553
Q21776,Ikeda Yoshimichi,Q6529609,,Q6529609
Q37306,三沢於常,Q108907479,,Q108907479
Q37310,伊達村倫,Q11380784,,Q11380784
Q21779,Date Munesuke,Q11380732,,Q11380732
Q37322,相如院,Q108907505,,Q108907505
Q37326,三沢宗直の娘 (伊達村興の正室),Q108907549,,Q108907549
Q21784,Katakura Muranobu,Q6375039,,Q6375039
Q21785,Iwaki Takatsugu,Q8514821,,Q8514821
Q37334,岡村於隆の方,Q109352490,,Q109352490
Q37338,高橋倫,Q110883548,,Q110883548
Q21790,Date Murayoshi,Q11380816,,Q11380816
Q37346,伊達和姫,Q110883636,,Q110883636
Q37358,月光院 (亘理元宗の正室),Q109327887,,Q109327887
Q21796,Date Muneshige,Q11380750,,Q11380750
Q21797,Nakagawa Tadakatsu,Q108781212,,Q108781212
Q21798,Mitsubuchi Harukazu,Q11356604,,Q11356604
Q21799,Hosokawa Okimoto,Q11605976,,Q11605976
Q37370,Kōri Muneyasu,Q11643124,,Q11643124
Q21802,Matsui Okinaga,Q4352514,,Q4352514
Q21803,Hosokawa Aritaka,Q11605921,,Q11605921
Q21805,Machino Shigeyori,Q22131614,,Q22131614
Q21806,Maeda Takayuki,Q11397521,,Q11397521
Q37374,Chō Mototsura,Q11651518,,Q11651518
Q37378,東園基量,Q109806342,,Q109806342
Q37382,東園基賢の娘 (京極高住の正室),Q109806490,,Q109806490
Q37386,東園基賢の娘 (白川雅光王の妻),Q109806524,,Q109806524
Q37391,葉川基淳,Q110074521,,Q110074521
Q21812,Ishiyama Moroka,Q106975555,,Q106975555
Q37395,波多基維,Q110074670,,Q110074670
Q37399,柳原資行,Q110080938,,Q110080938
Q21815,Sukekado Yanagiwara,Q11534159,,Q11534159
Q21816,Reizei Tamehisa,Q11395349,,Q11395349
Q37403,日野光茂,Q113206530,,Q113206530
Q21818,Yanagiwara Mitsutsuna,Q111170757,,Q111170757
Q21819,Maeda Toshiyuki,Q11397426,,Q11397426
Q21822,Matsudaira Sukenobu,Q8515108,,Q8515108
Q21823,Nanbu Shigenobu,Q8514003,,Q8514003
Q37419,伊勢貞房,Q108960859,,Q108960859
Q37423,伊勢貞助,Q62601439,,Q62601439
Q37431,Kajūji Noritoyo,Q11400600,,Q11400600
Q37439,松倉重政の娘 (坊城俊昌の妻),Q109864672,,Q109864672
Q37443,Kajūji Tsunehiro,Q11400606,,Q11400606
Q21832,Nakagawa Sadanaga,Q110057738,,Q110057738
Q37447,甘露寺時長,Q110058891,,Q110058891
Q37451,甘露寺嗣長,Q110059102,,Q110059102
Q37455,橋本実村,Q108855679,,Q108855679
Q37459,万里小路淳房,Q109854191,,Q109854191
Q37467,裏辻季盛,Q108855870,,Q108855870
Q37475,葉室頼重,Q109852009,,Q109852009
Q37479,橋本実松,Q109852460,,Q109852460
Q37483,斯波義康,Q20040540,,Q20040540
Q37487,津川近利,Q11556115,,Q11556115
Q21844,Tsugawa Tatsuuzu,Q11556114,,Q11556114
Q37491,津川近治,Q11556117,,Q11556117
Q21846,Kikkawa Mototsune,Q11412943,,Q11412943
Q37495,Miyanoshō Tsunetomo,Q11454761,,Q11454761
Q21848,Kikkawa Tsuneyo,Q11413050,,Q11413050
Q37503,Haruki no Ōkata,Q124497711,,Q124497711
Q37511,Sonchō-hosshinnō,Q11458663,,Q11458663
Q37515,和田政秀,Q109116522,,Q109116522
Q37519,Daughter of Gamo Hidetsuna (legal wife of Gamo Sadahide),Q109116531,,Q109116531
Q21857,Nanbu Nobunao,Q3137467,,Q3137467
Q37527,慈照院 (南部信直の後室),Q110074315,,Q110074315
Q37531,仙寿院 (南部利直の側室),Q29411039,,Q29411039
Q37543,関盛吉,Q22131468,,Q22131468
Q37547,関一利,Q119380356,,Q119380356
Q37550,北畠材親,Q11403859,,Q11403859
Q37554,Wada Korenaga,Q11418009,,Q11418009
Q21868,Nakagawa Hisatsune,Q11364739,,Q11364739
Q21869,Ikeda Masayori,Q11551906,,Q11551906
Q21870,Ikeda Terukiyo,Q11552145,,Q11552145
Q37558,安藤重長の娘 (丹羽光重正室),Q111027821,,Q111027821
Q21872,Ikeda Masaharu,Q11551923,,Q11551923
Q21873,Ikeda Terukoto,Q11552151,,Q11552151
Q21874,Ikeda Noriakira,Q11552144,,Q11552144
Q21875,Ikeda Munemasa,Q11551807,,Q11551807
Q21876,Ikeda Masataka,Q11551915,,Q11551915
Q21878,Ikeda Masatatsu,Q11551937,,Q11551937
Q37566,池田美恵子,Q111192640,,Q111192640
Q37570,池田唯子,Q111196347,,Q111196347
Q21881,Masanaka Hotta,Q8515540,,Q8515540
Q21882,Yamauchi Toyofusa,Q11466474,,Q11466474
Q21883,Tachibana Akitaka,Q11598213,,Q11598213
Q21884,Matsudaira Chikanori,Q10729509,,Q10729509
Q21885,Honda Hirotaka,Q5892511,,Q5892511
Q21886,Honda Yasushige,Q10522159,,Q10522159
Q37574,松平親俊,Q115587300,,Q115587300
Q37578,西尾吉次,Q11627721,,Q11627721
Q21889,Matsudaira Shigetoshi,Q127787771,,Q127787771
Q37582,松平一忠,Q106317211,,Q106317211
Q37586,酒井康忠,Q106702943,,Q106702943
Q37590,酒井忠善,Q115596126,,Q115596126
Q37594,酒井恒城,Q115587147,,Q115587147
Q37598,稲垣重綱の娘 (本多忠相の正室),Q110050858,,Q110050858
Q37602,松平勝宗,Q106317197,,Q106317197
Q37606,内藤宗清,Q113232056,,Q113232056
Q37610,Naitō Masanari,Q10514826,,Q10514826
Q37614,Naitō Tadamasa,Q58139883,,Q58139883
Q21899,Ishikawa Chikayasu,Q17192965,,Q17192965
Q21900,Jitsunyo,Q6605937,,Q6605937
Q21901,Renjun,Q6609429,,Q6609429
Q37618,水野鶴,Q111021241,,Q111021241
Q21903,Mizuno Katsutane,Q10565394,,Q10565394
Q37622,有馬清純,Q11516808,,Q11516808
Q37626,一色氏勝,Q108745029,,Q108745029
Q37630,板倉久,Q110727182,,Q110727182
Q21908,Toda Tameharu,Q10862137,,Q10862137
Q37638,直江景明,Q11581800,,Q11581800
Q21910,Sanada Yukitaka,Q1373396,,Q1373396
Q21911,Sanada Masateru,Q11583401,,Q11583401
Q21912,Sanada Nobutsuna,Q674844,,Q674844
Q21913,Sanada Nobukatsu,Q11583360,,Q11583360
Q21914,Sanada Masachika,Q11583399,,Q11583399
Q37642,Seidzuin,Q108807725,,Q108807725
Q37646,植村家政の娘 (安部信之の正室),Q111143495,,Q111143495
Q21917,Anbe Nobutomo,Q11451587,,Q11451587
Q37650,安部信世,Q111143617,,Q111143617
Q37654,Katō Noriaki,Q56348388,,Q56348388
Q37658,星覚院 (松下重綱の正室),Q111216504,,Q111216504
Q37662,Katō Akihide,Q11399262,,Q11399262
Q37666,Katō Akiharu,Q11399256,,Q11399256
Q37670,Naitō Yoshihide,Q10517132,,Q10517132
Q37674,Naitō Yoshitaka,Q8514986,,Q8514986
Q21926,Matsura Takanobu,Q17209024,,Q17209024
Q21927,Matsura Takashi,Q11531832,,Q11531832
Q21928,Matsura Masashi,Q11531818,,Q11531818
Q21929,Matsura Atsunobu,Q11531856,,Q11531856
Q37682,明石正風,Q18989874,,Q18989874
Q21932,Uragami Kiyomune,Q11558118,,Q11558118
Q37686,浦上誠宗,Q11558120,,Q11558120
Q21934,Narahime,Q18011481,,Q18011481
Q21935,Tsukushi Korekado,Q11602922,,Q11602922
Q37690,斎藤長実の娘 (筑紫広門の妻),Q110903023,,Q110903023
Q37694,筑紫信門,Q79737485,,Q79737485
Q37698,養福院 (立花直次の正室),Q110903054,,Q110903054
Q21939,Inoue Yukifusa,Q11372815,,Q11372815
Q37706,小笠原賀留,Q111027288,,Q111027288
Q37710,小笠原伊予,Q111027487,,Q111027487
Q37714,黒田利,Q110901613,,Q110901613
Q21944,Kuroda Tsugutaka,Q11678674,,Q11678674
Q21945,Yamauchi Katsutoshi,Q11466346,,Q11466346
Q21946,Katusteru Yamauchi,Q11466349,,Q11466349
Q37718,大関高増,Q11439903,,Q11439903
Q21948,Tachibana Tanenaga,Q11598189,,Q11598189
Q21949,Tachibana Yasunaga,Q11598208,,Q11598208
Q21950,Tani Moritoshi,Q11633099,,Q11633099
Q21951,Tani Moriyori,Q11633105,,Q11633105
Q21952,Sakai Tadayoshi,Q11644109,,Q11644109
Q21953,Sakai Tadasono,Q11644116,,Q11644116
Q21954,Sakai Tadakiku,Q11644169,,Q11644169
Q21955,Sakai Tadaoto,Q11644185,,Q11644185
Q21956,Takebe Mitsushige,Q11486850,,Q11486850
Q21957,Takebe Masanoki,Q11486856,,Q11486856
Q21958,Asakura Nobumasa,Q6527250,,Q6527250
Q21959,Matsudaira Ienobu,Q5368670,,Q5368670
Q37722,常覚院,Q108884522,,Q108884522
Q37726,酒井忠恒,Q8515187,,Q8515187
Q37730,岡部親綱,Q11473868,,Q11473868
Q37734,Sadatsuna Tsutiya,Q11473873,,Q11473873
Q37738,岡部元信の娘,Q106056828,,Q106056828
Q37742,岡部真堯,Q126006454,,Q126006454
Q21966,Kuwayama Motoharu,Q11537532,,Q11537532
Q21967,Okabe Nagayasu,Q11473885,,Q11473885
Q37746,岡部行隆の娘 (有馬清純の正室),Q111023306,,Q111023306
Q37750,daughter Naritaky Moriho,Q111023538,,Q111023538
Q37754,Dankyō,Q11500822,,Q11500822
Q21971,Nabeshima Naoeda,Q11650677,,Q11650677
Q37758,Nabesima Oman,Q134298867,,Q134298867
Q37762,Nabesima Naotaka,Q59552275,,Q59552275
Q37767,Taku Sigetoki,Q11430609,,Q11430609
Q37771,Taku Sigenori,Q11430610,,Q11430610
Q37775,Isakhaya Sigeyosi,Q11632021,,Q11632021
Q21977,Matsudaira Tadafusa,Q10729386,,Q10729386
Q37779,Kumasiro Iseman,Q134300058,,Q134300058
Q37783,Kumasiro Onari,Q134299962,,Q134299962
Q21980,Sakakibara Kiyomasa,Q11541718,,Q11541718
Q37787,奥平義政,Q134695467,,Q134695467
Q37791,奥平貞次,Q134699753,,Q134699753
Q21983,Okudaira Masakatsu,Q11445782,,Q11445782
Q37795,長坂信宅,Q24867249,,Q24867249
Q21985,Shimazu Mitsuhisa,Q11246514,,Q11246514
Q21987,Tadatoyo Yamanouchi,Q6584320,,Q6584320
Q37799,法雲院 (山内豊昌の側室),Q111307255,,Q111307255
Q37803,山内多代,Q110656129,,Q110656129
Q21990,Matsudaira Sadateru,Q11530396,,Q11530396
Q21991,Nakagawa Hisamichi,Q11364751,,Q11364751
Q37807,Katō Yasutsune,Q11399361,,Q11399361
Q37811,姉小路安姫,Q110136258,,Q110136258
Q21994,Yoshisato Yanagisawa,Q11534391,,Q11534391
Q21995,Yamauchi Kazutoyo,Q1315878,,Q1315878
Q37815,内藤元長,Q118697839,,Q118697839
Q37819,Tōyama Masasuke,Q8514148,,Q8514148
Q37823,内藤忠興の娘 (土方雄次の正室),Q113244689,,Q113244689
Q37831,Naitō Masachika,Q8514937,,Q8514937
Q37835,蒲生郷喜,Q111018799,,Q111018799
Q37839,土方雄重,Q8514867,,Q8514867
Q22003,Nishio Yoshinori,Q11627724,,Q11627724
Q37843,平岡頼資,Q11482630,,Q11482630
Q22005,Yamada Shigetatsu,Q11470709,,Q11470709
Q37847,栄久院 (阿部正鎮の正室),Q111254668,,Q111254668
Q37855,阿部正鎮の娘 (戸田光邦の正室),Q111260902,,Q111260902
Q37863,酒井忠雄,Q87869620,,Q87869620
Q22011,Abe Masasuke,Q10565416,,Q10565416
Q22012,Abe Masaoki,Q10565454,,Q10565454
Q37867,秋山虎繁の娘 (秋山昌詮の妻),Q111296225,,Q111296225
Q37871,柴田勝全,Q108134238,,Q108134238
Q37875,西郷忠員,Q11629667,,Q11629667
Q37879,Saigō Yasukazu,Q11629663,,Q11629663
Q37883,Saigō Masakazu,Q11629679,,Q11629679
Q37887,近藤忠吉,Q111253747,,Q111253747
Q22019,Toda Naiki,Q17221950,,Q17221950
Q37891,Mitimasa Edo,Q11551122,,Q11551122
Q22021,Matsudaira Ayaaki,Q11530466,,Q11530466
Q22022,Matsudaira Nobumichi,Q11530350,,Q11530350
Q37895,板倉慶,Q110727644,,Q110727644
Q22025,Matsudaira Nobuteru,Q11530361,,Q11530361
Q22026,Matsudaira Terusada,Q11530604,,Q11530604
Q37903,山口秀景,Q95400574,,Q95400574
Q22028,Yamaguchi Nagahiro,Q11466654,,Q11466654
Q37907,Sō Yoshitoshi,Q1328807,,Q1328807
Q37911,日野福,Q109917846,,Q109917846
Q22031,Tsuchiya Toshinao,Q11423236,,Q11423236
Q22032,Matsudaira Noritsugu,Q10729484,,Q10729484
Q37915,本多康慶の娘 (本多康文の正室),Q110969211,,Q110969211
Q22034,Honda Yasunori,Q10522052,,Q10522052
Q22035,Miyake Yasunobu,Q6884227,,Q6884227
Q37919,榊原久政,Q110825129,,Q110825129
Q37923,榊原久近,Q110825146,,Q110825146
Q37928,榊原久通,Q110825167,,Q110825167
Q37932,菅沼定継,Q11619298,,Q11619298
Q37940,菅沼定仙,Q106680683,,Q106680683
Q37944,Hōjō Ujisada,Q11402165,,Q11402165
Q37948,Sadasige Kimura,Q11518807,,Q11518807
Q37952,Sigeyuki Sinokhara,Q11603637,,Q11603637
Q22046,Naoe Kanetsugu,Q1348611,,Q1348611
Q37960,Ōkuni Saneyori,Q11433658,,Q11433658
Q22048,Honda Inuchiyo,Q10517777,,Q10517777
Q37964,品川高如,Q11418433,,Q11418433
Q37968,西郷延員,Q11629664,,Q11629664
Q37972,Itō Nagaharu,Q11379605,,Q11379605
Q22052,Ishikawa Yasukatsu,Q11585796,,Q11585796
Q37976,石川成綱,Q118747099,,Q118747099
Q37984,Ikoma Ekhiro,Q109117270,,Q109117270
Q37988,Ikoma Yosinaga,Q11574909,,Q11574909
Q22058,Tsubouchi Toshisada,Q11425729,,Q11425729
Q37992,坪内家定,Q55973368,,Q55973368
Q22060,Oda Nobukado,Q11608343,,Q11608343
Q22061,Oda Takamoto,Q11608469,,Q11608469
Q22063,Ogasawara Nagasuke,Q10859969,,Q10859969
Q22064,Ogasawara Nagashige,Q7079832,,Q7079832
Q38000,慈光院 (蜂須賀家政の正室),Q17992523,,Q17992523
Q38004,阿喜姫,Q17988308,,Q17988308
Q38008,小笠原満,Q111027354,,Q111027354
Q22069,Ogasawara Sadaaki,Q10856571,,Q10856571
Q22070,Ogasawara Sadamasa,Q10856531,,Q10856531
Q22071,Honda Tadatoyo,Q11520040,,Q11520040
Q22072,Eikohime,Q119380583,,Q119380583
Q22073,Seion'in,Q28689491,,Q28689491
Q38016,Dōkyō Etan,Q11641854,,Q11641854
Q22075,Sanada Nobuyoshi,Q11583362,,Q11583362
Q38020,稲垣重綱の娘 (真田信政の正室),Q110050864,,Q110050864
Q22077,Sanada Nobunari,Q11583363,,Q11583363
Q22078,Sanada Yukimichi,Q11583392,,Q11583392
Q38024,daughter Nobumasa Sanada (zakonna manzelka Masaaki Toyama),Q110050805,,Q110050805
Q38028,daughter Nobumasy Sanady (nastupce Arisige Koide),Q110050841,,Q110050841
Q38032,daughter Nobumasy Sanady (zakonna manzelka Jorinaga Tokiho),Q106513846,,Q106513846
Q38036,Kōriki Tadafusa,Q6455258,,Q6455258
Q22083,Honda Tadanao,Q11520027,,Q11520027
Q38040,Inoue Masatō,Q11373066,,Q11373066
Q22085,Kanamori Yorinao,Q11647302,,Q11647302
Q22086,Mizuno Tadamitsu,Q10565626,,Q10565626
Q22087,Ishikawa Fusayoshi,Q11586326,,Q11586326
Q22088,Arima Yoshisada,Q11516823,,Q11516823
Q38044,daughter Tokuena Jasutomiho,Q108057736,,Q108057736
Q22090,Arima Kamon,Q11516788,,Q11516788
Q38048,Dona Rusia,Q108057761,,Q108057761
Q22092,Konishi Josei,Q11463583,,Q11463583
Q22093,Oda Nagahiro,Q11608444,,Q11608444
Q22094,Oda Nagaaki,Q11608438,,Q11608438
Q22096,Oda Nobukata,Q11608305,,Q11608305
Q22098,Tokugawa Harumori,Q6998193,,Q6998193
Q22099,Tsuchiya Yoshinao,Q6997853,,Q6997853
Q22100,Matsudaira Yoshikazu,Q11530566,,Q11530566
Q22114,Matsudaira Takeoki,Q11530498,,Q11530498
Q22116,Yamanobe Yoshimoto,Q11471092,,Q11471092
Q22118,Takahashi Shigekata,Q22126134,,Q22126134
Q22119,Yamanobe Yoshimasa,Q11471087,,Q11471087
Q22120,Nanbu Toshihisa,Q8513991,,Q8513991
Q22121,Inoue Masayori,Q11373096,,Q11373096
Q22122,Ikeda Norizumi,Q11551875,,Q11551875
Q22126,Norizane Ikeda,Q11551876,,Q11551876
Q22127,Tsunahiro Kutsuki,Q52083748,,Q52083748
Q38718,池田千子,Q111050998,,Q111050998
Q22132,Fushimi Hiroyasu,Q285846,6000000111820698971,Q285846
Q22133,Prince Fushimi Hiroyoshi,Q6277425,,Q6277425
Q22135,Atsuko Kiyosu,Q108111389,,Q108111389
Q22136,Tokugawa Taeko,Q6997629,,Q6997629
Q22137,Princess Mieko of Arisugawa,Q7004966,,Q7004966
Q22138,"Kikuko, Princess Takamatsu",Q467655,6000000012570835514,Q467655
Q22141,Kumiko Ide,Q111114473,,Q111114473
Q22142,Tokugawa Satoko,Q60987327,,Q60987327
Q22143,Nobumoto Tokugawa,Q51166560,,Q51166560
Q22144,Masaaki Hachisuka,Q11625683,,Q11625683
Q22145,Toshiko Hachisuka,Q11625675,,Q11625675
Q22146,Masauji Hachisuka,Q11625684,,Q11625684
Q22147,Tokugawa Satotaka,Q3530494,,Q3530494
Q22148,Satomichi Tokugawa,Q65267787,,Q65267787
Q22149,Kuniyuki Tokugawa,Q277135,,Q277135
Q22150,Tokugawa Kuninari,Q11490265,,Q11490265
Q22153,Chikako Shibusawa,Q106847232,,Q106847232
Q22155,Hotta Masayoshi,Q910241,,Q910241
Q22156,Princess Arisugawa Toshiko,Q11634517,,Q11634517
Q22157,Prince Arisugawa Taruhito,Q668338,,Q668338
Q22158,Prince Arisugawa Takehito,Q875481,,Q875481
Q22159,Hachisuka Mochiaki,Q656008,,Q656008
Q22160,Sadanori Matsudaira,Q6282570,,Q6282570
Q22161,Matsudaira Sadaaki,Q3299354,,Q3299354
Q22162,Satoko Tokugawa,Q118697676,,Q118697676
Q22163,Tokugawa Muneyoshi,Q6998419,,Q6998419
Q38164,庭田重具,Q108841005,,Q108841005
Q38168,葉室頼宣,Q108972167,,Q108972167
Q38172,Tokiyoshi Nishinotōin,Q11629028,,Q11629028
Q38176,葛岡玄仲の娘 (西洞院時慶の正室),Q109983934,,Q109983934
Q22168,Daigo Fuyuhiro,Q11644456,,Q11644456
Q22169,Tokudaiji Kintake,Q11489569,,Q11489569
Q38180,近衛綱姫,Q134560613,,Q134560613
Q38184,高倉永相の娘 (水無瀬氏成の妻),Q109822018,,Q109822018
Q38188,七条隆脩,Q109822750,,Q109822750
Q38192,水無瀬氏成の娘 (甘露寺嗣長の妻),Q110060795,,Q110060795
Q38196,森大姫,Q111132137,,Q111132137
Q38200,伊勢貞敦,Q109330461,,Q109330461
Q38205,松平乗寿の娘 (増山正利の正室),Q110967960,,Q110967960
Q22177,Mashiyama Masamitsu,Q11429192,,Q11429192
Q22178,Matsudaira Munemitsu,Q10862088,,Q10862088
Q22179,Matsudaira Munenaga,Q10862090,,Q10862090
Q22180,Matsudaira Munehisa,Q11530392,,Q11530392
Q22181,Makino Yasuchika,Q10860162,,Q10860162
Q38209,六角広安,Q110875164,,Q110875164
Q38213,堀田正元の娘 (白須正休の妻),Q110281520,,Q110281520
Q38217,清閑寺熙定,Q11561445,,Q11561445
Q22188,Abe Masataka,Q10565418,,Q10565418
Q38233,阿部正晴,Q24861352,,Q24861352
Q38237,阿部正府,Q24872635,,Q24872635
Q38241,前田頴,Q111018666,,Q111018666
Q22192,Matsudaira Kataoki,Q11239089,,Q11239089
Q38245,烏丸光康の娘 (広橋国光の妻),Q109784593,,Q109784593
Q38249,烏丸光康の娘 (正親町季秀の正室),Q109788083,,Q109788083
Q38257,烏丸光康の娘 (広橋兼勝の妻),Q109924223,,Q109924223
Q38265,清閑寺共房の娘 (烏丸資慶の正室),Q109830197,,Q109830197
Q38269,烏丸光雄,Q109829662,,Q109829662
Q38273,烏丸資慶の娘 (七条隆豊の妻),Q109830472,,Q109830472
Q38277,稲葉景通の娘 (裏松資清の妻),Q109916379,,Q109916379
Q42568,裏松益光,Q109916944,,Q109916944
Q22203,Rokkaku Hirotoyo,Q11392533,,Q11392533
Q22204,Miyoshi Yukinaga,Q11354856,,Q11354856
Q22205,Miyoshi Nagahide,Q11354966,,Q11354966
Q22206,Akutagawa Naganori,Q11614749,,Q11614749
Q22207,Miyoshi Yorizumi,Q11354972,,Q11354972
Q22208,Hirohashi Kanekatsu,Q11485459,,Q11485459
Q38285,竹屋光長,Q109934197,,Q109934197
Q38289,日野西総盛,Q109934149,,Q109934149
Q38293,西大路隆郷,Q109935389,,Q109935389
Q38297,日野西光氏,Q109935369,,Q109935369
Q38301,正親町季康,Q109924270,,Q109924270
Q38305,三条西公勝の娘 (広橋綏光の妻),Q109950015,,Q109950015
Q38309,広橋兼茂,Q109935746,,Q109935746
Q38313,広橋綏尚,Q109935998,,Q109935998
Q38317,広橋貞光,Q109947219,,Q109947219
Q38321,西大路隆平,Q109952105,,Q109952105
Q22219,Karasumaru Mitsuhide,Q11567200,,Q11567200
Q22220,Suwa Tadaharu,Q11631878,,Q11631878
Q38325,内藤忠興の養女 (諏訪忠晴の正室),Q108896781,,Q108896781
Q22222,Suwa Tadahiro,Q11631875,,Q11631875
Q38329,諏訪於栄,Q108884757,,Q108884757
Q22224,Mori Tadatsugu,Q11539688,,Q11539688
Q22225,Mori Nagatake,Q11540415,,Q11540415
Q22226,Mori Nagatoshi,Q11540409,,Q11540409
Q22227,Seki Nagaharu,Q11656469,,Q11656469
Q38333,森長基,Q109680412,,Q109680412
Q22229,Mori Naganao,Q3335056,,Q3335056
Q22230,Mori Atsutoshi,Q11540311,,Q11540311
Q38337,森長継の娘 (鳥居忠則の正室),Q109680525,,Q109680525
Q38341,森兼,Q111015390,,Q111015390
Q38345,森長継の娘 (松平康雄の正室),Q111133485,,Q111133485
Q22234,Asukai Masakata,Q22124020,,Q22124020
Q38349,難波宗勝,Q11659535,,Q11659535
Q38353,平松時量,Q109917132,,Q109917132
Q38357,平松時広,Q109919678,,Q109919678
Q38361,平松時方,Q109957368,,Q109957368
Q38365,常勤 (僧),Q110974458,,Q110974458
Q38373,松平遊,Q111142856,,Q111142856
Q22242,Satake Yoshimine,Q8514480,,Q8514480
Q38377,明鏡院 (佐竹義道の正室),Q111289175,,Q111289175
Q38381,Sōma Noritane,Q11582501,,Q11582501
Q22245,Matsudaira Nobutomi,Q11530402,,Q11530402
Q22246,Matsudaira Tomonori,Q11530472,,Q11530472
Q38385,Naitō Okimori,Q10514879,,Q10514879
Q38389,Mōri Motokata,Q11547562,,Q11547562
Q22249,Kodama Naritada,Q10891092,,Q10891092
Q38393,児玉元次,Q45830176,,Q45830176
Q22251,Kodama Kagetada,Q123414963,,Q123414963
Q22252,Sugi Motosuke,Q11521728,,Q11521728
Q38397,Naitō Nobumitsu,Q11394449,,Q11394449
Q38401,毛利就詮,Q11547611,,Q11547611
Q22256,Imadegawa Nobusue,Q7223028,,Q7223028
Q38409,飛鳥井雅香,Q110951926,,Q110951926
Q22262,Miyagi Yorihisa,Q11454032,,Q11454032
Q38429,加藤百助,Q108747126,,Q108747126
Q22266,Tokugawa Harutomi,Q6993350,,Q6993350
Q22267,Sakai Tadaari,Q8515193,,Q8515193
Q22268,Matsudaira Haruyoshi,Q6788031,,Q6788031
Q22271,Shimazu Shigehide,Q8013051,,Q8013051
Q38449,Ōkubo Yukitada,Q11431958,,Q11431958
Q38453,Kira Saburō,Q11414224,,Q11414224
Q38457,吉良阿久利姫,Q109247958,,Q109247958
Q22276,Hatakeyama Yoshitoshi,Q11578684,,Q11578684
Q22279,Katahime,Q118697758,,Q118697758
Q22282,Honda Tadaaki,Q11520045,,Q11520045
Q22283,Miura Tameatsu,Q11356502,,Q11356502
Q22284,Tokugawa Haruyuki,Q6636824,,Q6636824
Q22286,Enchiin,Q17220470,,Q17220470
Q22288,Date Shigemura,Q846378,,Q846378
Q22292,Ikeda Sumitoki,Q11552029,,Q11552029
Q22294,Ikeda Harumichi,Q11551994,,Q11551994
Q22295,Ikeda Haruyuki,Q11551992,,Q11551992
Q22297,Hachisuka Munezumi,Q11625673,,Q11625673
Q22298,Matsudaira Tadatoki,Q11530422,,Q11530422
Q22299,Ii Naoari,Q11161184,,Q11161184
Q22304,Ikeda Suminobu,Q11552028,,Q11552028
Q22305,Ikeda Nobutoshi,Q11551861,,Q11551861
Q22306,Matsudaira Sadaharu,Q10729426,,Q10729426
Q38518,池田定得,Q11551813,,Q11551813
Q22310,Shishido Naritoshi,Q108780950,,Q108780950
Q38530,綾木大方,Q41699074,,Q41699074
Q38534,Naitō Motoyoshi,Q10516925,,Q10516925
Q22313,Awaya Mototoyo,Q10514924,,Q10514924
Q22314,Mizawa Tametora,Q11356173,,Q11356173
Q38554,堀河康胤の娘 (樋口信康の正室),Q109899433,,Q109899433
Q38558,樋口康勝,Q109899405,,Q109899405
Q38562,樋口康資,Q109899776,,Q109899776
Q22323,Sanetoyo Oogimachi,Q11545687,,Q11545687
Q22325,Tokugawa Munemoto,Q843627,6000000031022978175,Q843627
Q22326,Michie Koga,Q11369379,,Q11369379
Q22327,Higuchi Motoyasu,Q11542082,,Q11542082
Q22328,Hachisuka Kyumitsu,Q11625670,,Q11625670
Q38574,本多康慶の娘 (相馬尊胤の正室),Q110969026,,Q110969026
Q22330,Yamauchi Toyotsune,Q11466471,,Q11466471
Q22331,Hosokawa Nobunori,Q11605877,,Q11605877
Q38578,安野民,Q108485729,,Q108485729
Q22333,Matsudaira Yorinori,Q11530630,,Q11530630
Q38586,大久保頼郁,Q110251060,,Q110251060
Q38590,松平菊,Q110251081,,Q110251081
Q22337,Sakai Tadazane,Q11644101,,Q11644101
Q38594,Sō Yoshinaga,Q17230670,,Q17230670
Q22339,Tozawa Masatada,Q8514200,,Q8514200
Q22340,Hori Naonori,Q11427701,,Q11427701
Q22341,Ogasawara Nagataka,Q8515349,,Q8515349
Q22343,Hosokawa Okisato,Q11605991,,Q11605991
Q22344,Hosokawa Okinori,Q11605979,,Q11605979
Q22345,Mizunoya Katsutaka,Q11549155,,Q11549155
Q38602,雲鏡院,Q108917265,,Q108917265
Q38606,清光院 (毛利広豊の妻),Q108917291,,Q108917291
Q38610,Mōri Nariyoshi,Q11547613,,Q11547613
Q38618,Mōri Hironori,Q11547621,,Q11547621
Q22351,Kikkawa Tsunetomo,Q11413052,,Q11413052
Q38622,毛利美代子,Q110684831,,Q110684831
Q38626,毛利久米子,Q110686879,,Q110686879
Q22355,Hirano Masayuki,Q11394306,,Q11394306
Q38634,鏑木政幸,Q111025117,,Q111025117
Q22357,Maeda Naritaka,Q11397581,,Q11397581
Q22358,Maeda Narinaga,Q6729104,,Q6729104
Q22359,Asano Munetsune,Q11557349,,Q11557349
