token	ja	zh	ko	note
Andok	アンドク	安多克	안도크	by rule
Andor	アンドル	安多尔	안도르	by rule
Andorinho	アンドリンホ	安多林霍	안도린호	by rule
Andozinda	アンドジンダ	安多津达	안도진다	by rule
Andrada	アンドラダ	安德拉达	안드라다	by rule
Andrade	アンドラーデ	安德拉德	안드라데	attested on Wikidata (ja 6x, zh 11x)
Andragathius	アンドラガティウス	安德拉加蒂乌斯	안드라가튜스	by rule
Andranaf	アンドラナフ	安德拉纳夫	안드라나프	by rule
Andrassen	アンドラセン	安德拉森	안드라센	composed by rule: Andra + -ssen
Andre	アンドレ	安德烈	안드레	attested on Wikidata (ja 11x, zh 3x)
andre	アンドレ	安德雷	안드레	by rule
Andrea	アンドレア	安德烈亚	안드레아	attested on Wikidata (ja 51x, zh 6x)
Andreae	アンドレー	安德雷阿埃	안드레아에	attested on Wikidata (ja 2x)
Andreas	アンドレアス	安德烈亚斯	안드레아스	attested on Wikidata (ja 51x, zh 10x)
Andreasdatter	アンドレアスダッテル	安德雷阿斯达特	안드레아스다테르	composed by rule: Andreas + -datter
Andreasdotter	アンドレアスドッテル	安德雷阿斯多特	안드레아스도테르	composed by rule: Andreas + -dotter
Andreasdtr	アンドレアスダッテル	安德雷阿斯达特	안드레아스드트르	composed by rule: Andreas + -dtr
Andreasdtr.	アンドレアスダッテル	安德雷阿斯达特	안드레아스드트르	composed by rule: Andreas + -dtr.
Andreasen	アンドレアセン	安德雷阿森	안드레아센	composed by rule: Andrea + -sen
Andreason	アンドレアソン	安德烈亚松	안드레아손	composed: Andrea + -son
Andreassen	アンドレアセン	安德烈亚森	안드레아센	composed: Andrea + -ssen
Andreasson	アンドレアソン	安德雷阿松	안드레아손	composed by rule: Andrea + -sson
Andres	アンドレス	安德烈斯	안드레스	attested on Wikidata (ja 11x, zh 2x)
Andresen	アンドレセン	安德雷森	안드레센	composed by rule: Andre + -sen
Andrew	アンドリュー	安德鲁	안드레우	attested on Wikidata (ja 118x, zh 36x)
Andrey	アンドレイ	安德烈	안드레이	attested on Wikidata (ja 31x, zh 5x)
Andreæ	アンドレエ	安德雷埃	안드레애	by rule
Andrietta	アンドリエタ	安德里埃塔	안드리에타	by rule
Andrine	アンドリネ	安德里内	안드리네	by rule
Andromachus	アンドロマクス	安德罗马库斯	안드로마추스	by rule
Andronik	アンドロニク	安德罗尼克	안드로니크	by rule
Andronikos	アンドロニコス	安德洛尼卡	안드로니코스	attested on Wikidata (ja 4x, zh 4x)
Andrzej	アンジェイ	安杰伊	안드제즈	attested on Wikidata (ja 31x, zh 4x)
André	アンドレ	安德烈	안드레	attested on Wikidata (ja 82x, zh 27x)
Andrée	アンドレイ	安德烈	안드레에	attested on Wikidata (ja 3x, zh 5x)
Andréetta	アンドレエタ	安德雷埃塔	안드레에타	by rule
Andrés	アンドレス	安德烈斯	안드레스	attested on Wikidata (ja 20x, zh 5x)
Andrésson	アンドレソン	安德雷松	안드레손	composed by rule: André + -sson
Ane	アーネ	安内	아네	
Anemas	アネマス	阿内马斯	아네마스	by rule
Aner	アネル	阿内尔	아네르	by rule
Anes	アネス	阿内斯	아네스	by rule
Anette	アネテ	阿内特	아네테	by rule
Anfind	アンフィンド	安芬德	안핀드	by rule
Anfinn	アンフィンン	安芬	안핀느	by rule
Anfinnsdatter	アンフィンンスダッテル	安芬斯达特	안핀느스다테르	composed by rule: Anfinns + -datter
Ang	アン	安	앙	attested on Wikidata (ja 4x, zh 0x)
Ange	アンジュ	安热	아에	attested on Wikidata (ja 5x, zh 2x)
Angel	エンジェル	安杰尔	아엘	attested on Wikidata (ja 5x, zh 2x)
Angela	アンジェラ	安琪拉	아에라	attested on Wikidata (ja 28x, zh 2x)
Angeles	アンゲレス	安盖莱斯	아에레스	by rule
Angelos	アンゲロス	安格洛斯	아에로스	attested on Wikidata (ja 6x, zh 6x)
Angengeat	アンゲンゲアト	安根盖阿特	아에에아트	by rule
Angerstein	アンゲルステイン	安盖尔斯特因	아에르스테인	by rule
Angga	アングガ	安加	아아	by rule
Anggadasta	アングガダスタ	安加达斯塔	아아다스타	by rule
Anggadikoesoemah	アングガディコエソエマ	安加迪科埃索埃马	아아디쾨쇠마흐	by rule
Anggadipa	アングガディパ	安加迪帕	아아디파	by rule
Anggadiredja	アングガディレドヤ	安加迪雷德雅	아아디레자	by rule
Anggakusumah	アングガクスマ	安加库苏马	아아쿠수마흐	by rule
Anggalarang	アングガララング	安加拉兰	아아라랑	by rule
Angganegara	アングガネガラ	安加内加拉	아아네가라	by rule
Anggoro	アングゴロ	安戈罗	아오로	by rule
Angkat	アングカト	安卡特	앙카트	by rule
Angkawijaya	アングカヴィヤヤ	安卡维雅雅	앙카위자야	by rule
Angles	アングレス	安莱斯	앙레스	by rule
Anglia	アングリア	安利阿	앙리아	by rule
Angliae	アングリアエ	安利阿埃	앙리애	by rule
Angoulême	アンゴウレメ	安戈乌莱梅	아우레메	by rule
Angrek	アングレク	安雷克	앙레크	by rule
Angulo	アングロ	安古洛	아우로	by rule
Angund	アングンド	安贡德	아운드	by rule
Anguo	アングオ	安古奥	아워	by rule
Angus	アンガス	安格斯	아우스	attested on Wikidata (ja 15x, zh 6x)
Anicius	アニシウス	阿尼西乌斯	아니큐스	by rule
Anieh	アニエ	阿尼埃	아니에흐	by rule
Anina	アニナ	阿尼纳	아니나	by rule
Anindita	アニンディタ	阿宁迪塔	아닌디타	by rule
anissa	アニサ	阿尼萨	아니사	by rule
Anisson	アニソン	阿尼松	아니손	composed by rule: Ani + -sson
Anita	アニタ	安妮塔	아니타	attested on Wikidata (ja 24x, zh 4x)
Anja	アンニャ	安雅	아나	attested on Wikidata (ja 2x, zh 0x)
Anjan	アンヤン	安扬	아난	by rule
ANJANI	アンヤニ	安雅尼	아나니	by rule
Anjou	アンジュー	安约乌	아누	attested on Wikidata (ja 4x, zh 0x)
Anker	アンカー	安高	안케르	attested on Wikidata (ja 7x, zh 2x)
Ankhesenamun	アンクヘセナムン	安克赫塞纳蒙	안케세나문	by rule
Ankwennefer	アンクヴェネフェル	安克韦内费尔	안크웨느네페르	by rule
Anli	アンリ	安利	안리	by rule
Anmchad	アンムカド	安姆卡德	안므차드	by rule
Anmchada	アンムカダ	安姆卡达	안므차다	by rule
Ann	アン	安	안느	attested on Wikidata (ja 147x, zh 15x)
ann	アンン	安	안느	by rule
Ann-Mari	アンンマリ	安马里	안느마리	by rule
Ann-Marie	アンンマリエ	安马里埃	안느마리에	by rule
Anna	アンナ	安娜	안나	
ANNA	アナ	阿纳	안나	by rule
Anna-Karin	アナカリン	阿纳卡林	안나카린	by rule
Annah	アナ	阿纳	안나흐	by rule
Annasdotter	アナスドッテル	阿纳斯多特	안나스도테르	composed by rule: Annas + -dotter
Annbjørg	アンンブヨルグ	安布约尔格	안느브죄르그	by rule
Anne	アン	安妮	안네	attested on Wikidata (ja 233x, zh 25x)
Anne-Britt	アネブリト	阿内布里特	안네브리트	by rule
Anne-Karin	アネカリン	阿内卡林	안네카린	by rule
Annelie	アネリエ	阿内利埃	안네리에	by rule
Anneliese	アンネリーゼ	阿内利埃塞	안네리에세	attested on Wikidata (ja 2x, zh 0x)
Annett	アネト	阿内特	안네트	by rule
Annica	アニカ	阿尼卡	안니카	by rule
Annie	アニー	安妮	안니에	attested on Wikidata (ja 35x, zh 6x)
Annsofi	アンンソフィ	安索菲	안느소피	by rule
Anny	アニー	阿尼	안니	attested on Wikidata (ja 2x, zh 0x)
ANNYAS	アニアス	阿尼阿斯	안냐스	by rule
Annyas	アニアス	阿尼阿斯	안냐스	by rule
Ano	アノ	阿诺	아노	by rule
Anoet	アノエト	阿诺埃特	아뇌트	by rule
Anom	アノム	阿诺姆	아놈	by rule
Anrep	アンレプ	安雷普	안레프	by rule
Ansbert	アンスベルト	安斯贝尔特	안스베르트	by rule
Anscar	アンスカル	安斯卡尔	안스카르	by rule
Anscarica	アンスカリカ	安斯卡里卡	안스카리카	by rule
Ansede	アンセデ	安塞德	안세데	by rule
Ansgar	アンスガル	安斯加尔	안스가르	by rule
Anshi	アンスヒ	安斯希	안시	by rule
Anson	アンソン	安松	안손	composed by rule: An + -son
Ansteensen	アンステエンセン	安斯特恩森	안스틴센	composed by rule: Ansteen + -sen
Ansteinsson	アンステインソン	安斯特因松	안스테인손	composed by rule: Anstein + -sson
Ansteinssøn	アンステインソン	安斯特因松	안스테인쇤	by rule
Ansygius	アンシギウス	安西吉乌斯	안시규스	by rule
Antas	アンタス	安塔斯	안타스	by rule
Antasena	アンタセナ	安塔塞纳	안타세나	by rule
Antero	アンテロ	安特罗	안테로	by rule
Antezana	アンテザナ	安特扎纳	안테자나	by rule
Anthelia	アンテリア	安特利阿	안테리아	by rule
Anthony	アンソニー	安东尼	안토니	attested on Wikidata (ja 186x, zh 43x)
Anthun	アントン	安通	안툰	by rule
Antigone	アンティゴネ	安蒂戈内	안티고네	by rule
Antigonos	アンティゴノス	安蒂戈诺斯	안티고노스	by rule
Antimachus	アンティマクス	安蒂马库斯	안티마추스	by rule
Antinpoika	アンティンポイカ	安廷波伊卡	안틴포이카	by rule
Antiochus	アンティオコス	安蒂奥库斯	안티오추스	attested on Wikidata (ja 6x, zh 0x)
Antipater	アンティパテル	安蒂帕特尔	안티파테르	by rule
Antoine	アントワーヌ	安托万	안토이네	attested on Wikidata (ja 71x, zh 26x)
Antoinetta	アントイネタ	安托伊内塔	안토이네타	by rule
Antoinette	アントワネット	安托瓦妮特	안토이네테	attested on Wikidata (ja 13x, zh 2x)
Antolin	アントリン	安托林	안토린	by rule
Anton	アントン	安东	안톤	
Antonette	アントネテ	安托内特	안토네테	by rule
Antonia	アントニア	安东尼娅	안토니아	attested on Wikidata (ja 9x, zh 2x)
Antonie	アントニー	安托尼埃	안토니에	attested on Wikidata (ja 3x, zh 0x)
Antonina	アントニナ	安托尼纳	안토니나	by rule
Antonio	アントニオ	安东尼奥	안토니오	attested on Wikidata (ja 144x, zh 22x)
antonio	アントニオ	安托尼奥	안토니오	by rule
Antonius	アントニウス	安东尼	안토뉴스	attested on Wikidata (ja 9x, zh 3x)
Antonsen	アントンセン	安东森	안톤센	composed: Anton + -sen
Antsart	アントサルト	安特萨尔特	안차르트	by rule
Antti	アンティ	安蒂	안티	by rule
Antão	アンタオ	安塔奥	안타오	by rule
António	アントニオ	安东尼奥	안토니오	attested on Wikidata (ja 22x, zh 6x)
Anund	アヌンド	阿农德	아눈드	by rule
Anundson	アヌンドソン	阿努恩德松	아눈드손	composed: Anund + -son
Anundsson	アヌンドソン	阿农德松	아눈드손	composed by rule: Anund + -sson
Anuradhapura	アヌラドハプラ	阿努拉德哈普拉	아누라드하푸라	by rule
Anved	アンヴェド	安韦德	안베드	by rule
Anvedsdotter	アンヴェドスドッテル	安韦德斯多特	안베드스도테르	composed by rule: Anveds + -dotter
Anvedsson	アンヴェドソン	安韦德松	안베드손	composed by rule: Anved + -sson
Anvesen	アンヴェセン	安韦森	안베센	composed by rule: Anve + -sen
Anwar	アンワル	安瓦尔	안와르	attested on Wikidata (ja 5x, zh 2x)
Anwn	アンヴン	安夫恩	안우느	by rule
Anzenius	アンゼニウス	安泽尼乌斯	안제뉴스	by rule
Ao	アオ	阿奥	아오	by rule
Aodh	アオド	阿奥德	아오드흐	by rule
Aom	アオム	阿奥姆	아옴	by rule
Aonillah	アオニラ	阿奥尼拉	아오닐라흐	by rule
Ap	アプ	阿普	아프	by rule
ap	アプ	阿普	아프	by rule
Apamaea	アパマエア	阿帕马埃阿	아파매아	by rule
Apandi	アパンディ	阿潘迪	아판디	by rule
Apollonius	アポロニウス	阿波洛尼乌斯	아폴로뉴스	by rule
Appelbom	アペルボム	阿佩尔博姆	아펠봄	by rule
Appelgren	アペルグレン	阿佩尔格伦	아펠그렌	by rule
Appius	アッピウス	阿庇乌斯	아퓨스	attested on Wikidata (ja 12x, zh 2x)
Appleby	アプレビ	阿普莱比	아프레비	by rule
Appuleia	アプレイア	阿普莱伊阿	아푸레이아	by rule
Appuleius	アップレイウス	阿普莱伊乌斯	아푸레이우스	attested on Wikidata (ja 2x, zh 0x)
Apries	アプリエス	阿普里埃斯	아프리에스	by rule
Apt.	アプト	阿普特	아프트	by rule
Apun	アプン	阿蓬	아푼	by rule
Ar	アル	阿尔	아르	by rule
Ar-Rabi	アルラビ	阿尔拉比	아르라비	by rule
Arab	アラブ	阿拉布	아랍	by rule
Aragon	アラゴン	阿拉贡	아라곤	by rule
Aragona	アラゴナ	阿拉戈纳	아라고나	by rule
Aragón	アラゴン	阿拉贡	아라곤	by rule
Araiza	アライザ	阿拉伊扎	아라이자	by rule
Araldes	アラルデス	阿拉尔德斯	아랄데스	by rule
Aramayo	アラマヨ	阿拉马约	아라마요	by rule
Arana	アラナ	阿拉纳	아라나	by rule
Aranha	アランハ	阿兰哈	아란하	by rule
Aranibar	アラニバル	阿拉尼巴尔	아라니바르	by rule
Ararat	アララト	阿拉拉特	아라라트	by rule
Araya	アラヤ	阿拉雅	아라야	by rule
Araújo	アラウヨ	阿拉乌约	아라우조	by rule
ARBAIN	アルバイン	阿尔巴因	아르바인	by rule
Arbald	アルバルド	阿尔巴尔德	아르발드	by rule
Arbo	アルボ	阿尔博	아르보	by rule
Arcebispo	アルセビスポ	阿尔塞比斯波	아르케비스포	by rule
arcebispo	アルセビスポ	阿尔塞比斯波	아르케비스포	by rule
Archambaud	アルカムバウド	阿尔卡姆巴乌德	아르참바우드	by rule
Archelaos	アルケラオス	阿尔凯拉奥斯	아르체라오스	by rule
Archibald	アーチボルド	阿奇博尔德	아르치발드	attested on Wikidata (ja 58x, zh 8x)
Archie	アーチー	阿奇	아르치에	attested on Wikidata (ja 10x, zh 6x)
Archuleta	アーチュレッタ	阿尔库莱塔	아르추레타	attested on Wikidata (ja 2x, zh 0x)
Arcos	アルコス	阿尔科斯	아르코스	by rule
Arcruni	アルクルニ	阿尔克鲁尼	아르크루니	by rule
Arctander	アルクタンデル	阿尔克坦德尔	아르크탄데르	by rule
Arctophilacius	アルクトプヒラシウス	阿尔克托普希拉西乌斯	아르크토피라큐스	by rule
Ard	アルド	阿尔德	아르드	by rule
Ard-rí	アルドリ	阿尔德里	아르드리	by rule
Ardabasto	アルダバスト	阿尔达巴斯托	아르다바스토	by rule
Ardelle	アルデレ	阿尔德莱	아르델레	by rule
Ardennes	アルデネス	阿尔德内斯	아르덴네스	by rule
Ardgall	アルドガル	阿尔德加尔	아르드갈르	by rule
Ardhana	アルドハナ	阿尔德哈纳	아르드하나	by rule
Ardi	アルディ	阿尔迪	아르디	by rule
Ardiles	アルディレス	阿尔迪莱斯	아르디레스	by rule
Ardisasilam	アルディサシラム	阿尔迪萨西拉姆	아르디사시람	by rule
Ardisasmita	アルディサスミタ	阿尔迪萨斯米塔	아르디사스미타	by rule
Ardiwidjaja	アルディヴィドヤヤ	阿尔迪维德雅雅	아르디위자자	by rule
Ardudwy	アルドドヴィ	阿尔杜德维	아르두드위	by rule
Ardys	アルディス	阿尔迪斯	아르디스	by rule
Ardzrouni	アルドズロウニ	阿尔德兹罗乌尼	아르드즈루니	by rule
Are	アーレ	阿雷	아레	attested on Wikidata (ja 2x, zh 0x)
Arefayne	アレファイネ	阿雷法伊内	아레파이네	by rule
Arendtsdotter	アレンドトスドッテル	阿伦德特斯多特	아렌드츠도테르	composed by rule: Arendts + -dotter
Arent	アレント	阿伦特	아렌트	by rule
Areo	アレオ	阿雷奥	아레오	by rule
Aresson	アレソン	阿雷松	아레손	composed by rule: Are + -sson
Aretas	アレタス	阿雷塔斯	아레타스	by rule
Arfa	アルファ	阿尔法	아르파	by rule
Argawidjaja	アルガヴィドヤヤ	阿尔加维德雅雅	아르가위자자	by rule
Argawijaya	アルガヴィヤヤ	阿尔加维雅雅	아르가위자야	by rule
Argengau	アルゲンガウ	阿尔根加乌	아르게아우	by rule
Arglwydd	アルグルヴィド	阿尔格尔维德	아르그르위드	by rule
arglwydd	アルグルヴィド	阿尔格尔维德	아르그르위드	by rule
Argos	アルゴス	阿尔戈斯	아르고스	by rule
Argoson	アルゴソン	阿尔戈松	아르고손	composed by rule: Argo + -son
Argus	アルグス	阿尔古斯	아르구스	by rule
Argyll	アルギル	阿尔吉尔	아르길르	by rule
Argyros	アルギロス	阿尔吉罗斯	아르기로스	by rule
Arhusiander	アルフシアンデル	阿尔胡西安德尔	아르후시안데르	by rule
Ari	アリ	阿里	아리	by rule
Aria	アリア	阿里阿	아리아	by rule
Arian	アリアン	阿里安	아리안	by rule
ARIANDI	アリアンディ	阿里安迪	아리안디	by rule
ARIANI	アリアニ	阿里阿尼	아리아니	by rule
Arianiti	アリアニティ	阿里阿尼蒂	아리아니티	by rule
Arianito	アリアニト	阿里阿尼托	아리아니토	by rule
ARIANTO	アリアント	阿里安托	아리안토	by rule
Arias	アリアス	阿里亚斯	아리아스	attested on Wikidata (ja 9x, zh 2x)
Arief	アリエフ	阿里埃夫	아리에프	by rule
Arieh	アリエ	阿里埃	아리에흐	by rule
Arien	アリエン	阿里恩	아리엔	by rule
Ariesca	アリエスカ	阿里埃斯卡	아리에스카	by rule
Arif	アリフ	阿里夫	아리프	by rule
Arifin	アリフィン	阿里芬	아리핀	by rule
Arika	アリカ	阿里卡	아리카	by rule
Arikha	アリクハ	阿里克哈	아리카	by rule
Arild	アリルド	阿里尔德	아릴드	by rule
Ario	アリオ	阿里奥	아리오	by rule
Ariobarzanes	アリオバルザネス	阿里奥巴尔扎内斯	아리오바자네스	by rule
Ariobarzanus	アリオバルザヌス	阿里奥巴尔扎努斯	아리오바자누스	by rule
Ariomiro	アリオミロ	阿里奥米罗	아리오미로	by rule
Arkadia	アルカディア	阿尔卡迪阿	아르카디아	by rule
Arkel	アルケル	阿尔凯尔	아르켈	by rule
Arlinda	アルリンダ	阿尔林达	아르린다	by rule
Armand	アルマン	阿尔芒	아르만드	attested on Wikidata (ja 27x, zh 7x)
Armando	アルマンド	阿尔曼多	아르만도	by rule
Armansyah	アルマンシア	阿尔曼西阿	아르만샤흐	by rule
Armas	アルマス	阿尔马斯	아르마스	by rule
Armayel	アルマイェル	阿尔马耶尔	아르마옐	by rule
Armenia	アルメニア	阿尔梅尼阿	아르메니아	by rule
Armfelt	アルムフェルト	阿尔姆费尔特	아르므펠트	by rule
Armfield	アルムフィエルド	阿尔姆菲埃尔德	아르므피엘드	by rule
Armin	アルミン	阿明	아르민	attested on Wikidata (ja 6x, zh 2x)
Armstrong	アームストロング	阿姆斯特朗	아르므스트롱	attested on Wikidata (ja 37x, zh 9x)
Army	アルミ	阿尔米	아르미	by rule
Arnaud	アルノー	阿尔纳乌德	아르나우드	attested on Wikidata (ja 4x, zh 0x)
Arnbjarnardóttir	アルンブヤルナルドティル	阿尔恩布雅尔纳尔多蒂尔	아르느브자르나르도티르	by rule
Arnbjørn	アルンブヨルン	阿尔恩布约尔恩	아르느브죄르느	by rule
Arnbjørnsdatter	アルンブヨルンスダッテル	阿尔恩布约尔恩斯达特	아르느브죄르느스다테르	composed by rule: Arnbjørns + -datter
Arnbjørnsson	アルンブヨルンソン	阿尔恩布约尔恩松	아르느브죄르느손	composed by rule: Arnbjørn + -sson
Arne	アルネ	阿恩	아르네	attested on Wikidata (ja 26x, zh 2x)
Arnell	アルネル	阿尔内尔	아르넬르	by rule
Arnesdatter	アルネスダッテル	阿尔内斯达特	아르네스다테르	composed by rule: Arnes + -datter
Arnesdotter	アルネスドッテル	阿尔内斯多特	아르네스도테르	composed by rule: Arnes + -dotter
Arnesen	アルネセン	阿尔内森	아르네센	composed: Arne + -sen
Arneson	アルネソン	阿尔内松	아르네손	composed: Arne + -son
Arnesson	アールナソン	阿尔内松	아르네손	attested on Wikidata (ja 2x)
Arnestsen	アルネストセン	阿尔内斯特森	아르네스첸	composed by rule: Arnest + -sen
Arnevik	アルネヴィク	阿尔内维克	아르네비크	by rule
Arnfinn	アルンフィンン	阿尔恩芬	아르느핀느	by rule
Arnhem	アルンヘム	阿尔恩赫姆	아르느헴	by rule
Arnie	アーニー	阿尔尼埃	아르니에	attested on Wikidata (ja 2x, zh 0x)
Arnljot	アルンルヨト	阿尔恩尔约特	아르느로트	by rule
Arnljótsson	アルンルヨトソン	阿尔恩尔约特松	아르느로촌	composed by rule: Arnljót + -sson
Arnljótur	アルンルヨトル	阿尔恩尔约图尔	아르느로투르	by rule
Arnmod	アルンモド	阿尔恩莫德	아르느모드	by rule
Arno	アルノ	阿尔诺	아르노	by rule
Arnold	アーノルド	阿诺德	아르놀드	attested on Wikidata (ja 73x, zh 28x)
Arnoud	アルノウド	阿尔诺乌德	아르누드	by rule
Arnoul	アルノウル	阿尔诺乌尔	아르눌	by rule
Arnould	アルノウルド	阿尔诺乌尔德	아르눌드	by rule
Arnsberg	アルンスベルグ	阿尔恩斯贝尔格	아르느스베르그	by rule
Arnstein	アルンシュタイン	阿尔恩斯特因	아르느스테인	attested on Wikidata (ja 2x, zh 0x)
Arnt	アーント	阿尔恩特	아르느트	attested on Wikidata (ja 2x, zh 0x)
Arnts	アルントス	阿尔恩特斯	아르느츠	by rule
Arntsen	アルントセン	阿尔恩特森	아르느첸	composed by rule: Arnt + -sen
Arntson	アルントソン	阿尔恩特松	아르느촌	composed by rule: Arnt + -son
Arntzen	アルントゼン	阿尔恩特曾	아르느트젠	by rule
Arnulf	アルヌルフ	阿尔努尔夫	아르눌프	by rule
Arnuwanda	アルヌヴァンダ	阿尔努万达	아르누와느다	by rule
Arnvid	アルンヴィド	阿尔恩维德	아르느비드	by rule
Arnvidsson	アルンヴィドソン	阿尔恩维德松	아르느비드손	composed by rule: Arnvid + -sson
Arny	アルニ	阿尔尼	아르니	by rule
Arnöberg	アルノベルグ	阿尔诺贝尔格	아르뇌베르그	by rule
Aron	アロン	阿龙	아론	by rule
Arosell	アロセル	阿罗塞尔	아로셀르	by rule
Arosenius	アロセニウス	阿罗塞尼乌斯	아로세뉴스	by rule
Arpad	アルパド	阿尔帕德	아르파드	by rule
Arras	アラス	阿拉斯	아르라스	by rule
Arrestad	アレスタド	阿雷斯塔德	아르레스타드	by rule
Arrhidaeus	アルヒダエウス	阿尔希达厄斯	아르르히대우스	by rule
Arriaga	アリアガ	阿里阿加	아르리아가	by rule
Arroyo	アロヨ	阿罗约	아르로요	by rule
Arruntius	アルンティウス	阿伦蒂乌斯	아르룬튜스	by rule
Arsanes	アルサネス	阿尔萨内斯	아르사네스	by rule
Arschavier	アルシャヴィエル	阿尔沙维埃尔	아르사비에르	by rule
Arshak	アルスハク	阿尔斯哈克	아르사크	by rule
Arshakuni	アルスハクニ	阿尔斯哈库尼	아르사쿠니	by rule
Arshavir	アルスハヴィル	阿尔斯哈维尔	아르사비르	by rule
Arsinde	アルシンデ	阿尔辛德	아르신데	by rule
Arstsen	アルストセン	阿尔斯特森	아르스첸	composed by rule: Arst + -sen
Artabazos	アルタバゾス	阿尔塔巴佐斯	아르타바조스	by rule
Artaschir	アルタシル	阿尔塔西尔	아르타시르	by rule
Artashin	アルタスヒン	阿尔塔斯欣	아르타신	by rule
Artashir	アルタスヒル	阿尔塔斯希尔	아르타시르	by rule
Artavasdes	アルタヴァスデス	阿尔塔瓦斯德斯	아르타바스데스	by rule
Artavazd	アルタヴァズド	阿尔塔瓦兹德	아르타바즈드	by rule
Artaxerxes	アルタクスエルクスエス	阿尔塔克斯埃尔克斯埃斯	아르타그세르그세스	by rule
Artaxias	アルタクスイアス	阿尔塔克斯伊阿斯	아르타그시아스	by rule
arteaga	アルテアガ	阿尔特阿加	아르테아가	by rule
Artero	アルテロ	阿尔特罗	아르테로	by rule
Arthfoddw	アルトフォドヴ	阿尔特福德夫	아르트포드우	by rule
Arthlwys	アルトルヴィス	阿尔特尔维斯	아르트르위스	by rule
Arthur	アーサー	亚瑟	아르투르	attested on Wikidata (ja 303x, zh 29x)
Arthwyr	アルトヴィル	阿尔特维尔	아르트위르	by rule
Arto	アルト	阿托	아르토	attested on Wikidata (ja 4x, zh 2x)
Artois	アルトイス	阿尔托伊斯	아르토이스	by rule
Artsruni	アルトスルニ	阿尔特斯鲁尼	아르츠루니	by rule
Artu	アルト	阿尔图	아르투	by rule
Artur	アルトゥール	阿图尔	아르투르	attested on Wikidata (ja 11x, zh 9x)
Arturo	アルトゥーロ	阿图罗	아르투로	attested on Wikidata (ja 17x, zh 6x)
Arum	アルム	阿鲁姆	아룸	by rule
ARUMSARI	アルムサリ	阿鲁姆萨里	아룸사리	by rule
Arung	アルング	阿伦	아룽	by rule
ArungBinang	アルングビナング	阿伦比南	아룽비낭	by rule
Aruns	アルンス	阿伦斯	아룬스	by rule
Arve	アルヴェ	阿尔韦	아르베	by rule
Arvedson	アルヴェドソン	阿尔韦德松	아르베드손	composed by rule: Arved + -son
Arvid	アルヴィド	阿尔维德	아르비드	by rule
Arvidsdotter	アルヴィドスドッテル	阿尔维德斯多特	아르비드스도테르	composed by rule: Arvids + -dotter
Arvidsson	アルヴィドソン	阿尔维德松	아르비드손	composed by rule: Arvid + -sson
Arwidsson	アルヴィドソン	阿尔维德松	아르위드손	composed by rule: Arwid + -sson
Arya	アリア	阿里阿	아랴	by rule
Aryadiwangsa	アリアディヴァングサ	阿里阿迪万萨	아랴디와으사	by rule
Aryeh	アリエ	阿里埃	아례흐	by rule
ARYO	アリオ	阿里奥	아료	by rule
Aryo	アリオ	阿里奥	아료	by rule
Aryé	アリエ	阿里埃	아리에	by rule
Arze	アルゼ	阿尔泽	아제	by rule
as-Salmani	アスサルマニ	阿斯萨尔马尼	아살마니	by rule
as-Sampuri	アスサムプリ	阿斯萨姆普里	아삼푸리	by rule
Asa	エイサ	阿萨	아사	attested on Wikidata (ja 5x, zh 3x)
Asan	アサン	阿桑	아산	by rule
Asanes	アサネス	阿萨内斯	아사네스	by rule
Asanina	アサニナ	阿萨尼纳	아사니나	by rule
Asbiørn	アスビオルン	阿斯比奥尔恩	아스비외르느	by rule
Asbjørn	アスブヨルン	阿斯布约尔恩	아스브죄르느	by rule
Asbjørnsdatter	アスブヨルンスダッテル	阿斯布约尔恩斯达特	아스브죄르느스다테르	composed by rule: Asbjørns + -datter
Asbjørnsdotter	アスブヨルンスドッテル	阿斯布约尔恩斯多特	아스브죄르느스도테르	composed by rule: Asbjørns + -dotter
Asbjørnsen	アスブヨルンセン	阿斯布约尔恩森	아스브죄르느센	composed by rule: Asbjørn + -sen
Asbjørnson	アスブヨルンソン	阿斯布约尔恩松	아스브죄르느손	composed by rule: Asbjørn + -son
Ascad	アスカド	阿斯卡德	아스카드	by rule
Ascarrunz	アスカルンズ	阿斯卡伦兹	아스카르룬즈	by rule
Aschalew	アシャレヴ	阿沙莱夫	아사레우	by rule
Ascher	アシェル	阿谢尔	아세르	by rule
Aschersleben	アシェルスレベン	阿谢尔斯莱本	아세르스레벤	by rule
Aschkenasi	アスクケナシ	阿斯克凯纳西	아스케나시	by rule
Aschot	アショト	阿肖特	아소트	by rule
Ascricus	アスクリクス	阿斯克里库斯	아스크리쿠스	by rule
Asefaw	アセファヴ	阿塞法夫	아세파우	by rule
Asen	アセン	阿森	아센	by rule
Asen-Tych	アセンティク	阿森蒂克	아센티츠	by rule
Aser	アセル	阿塞尔	아세르	by rule
Asfadi	アスファディ	阿斯法迪	아스파디	by rule
Asfaha	アスファハ	阿斯法哈	아스파하	by rule
Asfaw	アスファヴ	阿斯法夫	아스파우	by rule
Asgaut	アスガウト	阿斯加乌特	아스가우트	by rule
Asgautdotter	アスガウトドッテル	阿斯加乌特多特	아스가우트도테르	composed by rule: Asgaut + -dotter
Asgautsdatter	アスガウトスダッテル	阿斯加乌特斯达特	아스가우츠다테르	composed by rule: Asgauts + -datter
Asgautson	アスガウトソン	阿斯加乌特松	아스가우촌	composed by rule: Asgaut + -son
